#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
4799.62,136,75.608348
294.07,65,75.642259
-954.7,89,75.688136
176.93,23,75.7011
150.9,31,75.718056
4077.05,108,75.769916
473.62,38,75.789862
16.72,31,75.804824
3295.72,96,75.851698
46.68,26,75.864663
272.78,57,75.894618
2868.8,59,75.924534
-250.75,67,75.967421
560.82,75,76.004321
1594.83,80,76.045212
175.88,51,76.071142
24986.81,786,77.966073
1344.79,115,78.022922
54.19,25,78.034889
-91.92,23,78.045853
4550.83,121,78.106664
3592.48,83,78.147555
-27.38,34,78.164512
31211.85,1084,78.713044
4330.01,407,80.423468
77.6,36,80.441419
5852.97,119,80.510236
-41.48,32,80.526192
3865.75,131,80.592017
271.78,26,80.604982
95.54,34,80.621935
